map_id,domain,reference_capability,public_evidence_ids,public_evidence_titles,chesslab_requirement,functional_requirement_id,acceptance,representative_screen_ids,priority,phase,prototype_status,clean_room_boundary
MAP-106,"Profile, Stats & Progress",Game archive,S20,How do I view my own games?,"Filter by game type, date, opponent, result and opening with stable pagination.",FR-106,"Given an eligible user and valid starting state, when the ""Game archive"" workflow is exercised, ChessLab shall filter by game type, date, opponent, result and opening with stable pagination; verify that the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-114,SCR-115,SCR-116,SCR-117",P0,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-107,"Profile, Stats & Progress",Bot and coach privacy,"S03,S04","How can I play against the Chess.com bots?,How do I play against the Coach?",Keep guided-game history private by default and allow deletion.,FR-107,"Given an eligible user and valid starting state, when the ""Bot and coach privacy"" workflow is exercised, ChessLab shall keep guided-game history private by default and allow deletion; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-114,SCR-115,SCR-116,SCR-117",P0,Privacy,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-108,"Watch, Events & Content",Live chess channel,S26,What is ChessTV?,Provide an integrated current broadcast with schedule and chat policy.,FR-108,"Given an eligible user and valid starting state, when the ""Live chess channel"" workflow is exercised, ChessLab shall provide an integrated current broadcast with schedule and chat policy; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-109,"Watch, Events & Content",Event directory,S26,What is ChessTV?,"List ongoing and upcoming tournaments, leagues and broadcasts.",FR-109,"Given an eligible user and valid starting state, when the ""Event directory"" workflow is exercised, ChessLab shall list ongoing and upcoming tournaments, leagues and broadcasts; verify that empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-110,"Watch, Events & Content",Event broadcast board,S26,What is ChessTV?,"Synchronize board, clocks, standings, commentary, engine and video.",FR-110,"Given an eligible user and valid starting state, when the ""Event broadcast board"" workflow is exercised, ChessLab shall synchronize board, clocks, standings, commentary, engine and video; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-111,"Watch, Events & Content",Streamer directory,S26,What is ChessTV?,List currently live creators and hand off to approved external platforms.,FR-111,"Given an eligible user and valid starting state, when the ""Streamer directory"" workflow is exercised, ChessLab shall list currently live creators and hand off to approved external platforms; verify that empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-112,"Watch, Events & Content",Playing-now spectating,"S26,S31","What is ChessTV?,What do I need to know about Fair Play?",Surface notable live games with delay and fair-play controls.,FR-112,"Given an eligible user and valid starting state, when the ""Playing-now spectating"" workflow is exercised, ChessLab shall surface notable live games with delay and fair-play controls; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-113,"Watch, Events & Content",Editorial hub,S26,What is ChessTV?,"Publish news, recaps, instructional articles and author pages with moderation.",FR-113,"Given an eligible user and valid starting state, when the ""Editorial hub"" workflow is exercised, ChessLab shall publish news, recaps, instructional articles and author pages with moderation; verify that success, validation failure, denied access, empty/loading state, persistence and analytics are covered on desktop and mobile.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Content,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-114,"Watch, Events & Content",Embeddable public views,"S21,S26","How do I get a PGN of my game?,What is ChessTV?","Generate safe embed codes for games, studies and events.",FR-114,"Given an eligible user and valid starting state, when the ""Embeddable public views"" workflow is exercised, ChessLab shall generate safe embed codes for games, studies and events; verify that private or revoked content is never exposed and the exported representation round-trips supported data.","SCR-126,SCR-127,SCR-128,SCR-129",P2,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-115,Community & Social,Friends graph,S28,How do I open a chat window with my friend?,"Send, accept, decline, cancel and limit friend requests.",FR-115,"Given an eligible user and valid starting state, when the ""Friends graph"" workflow is exercised, ChessLab shall send, accept, decline, cancel and limit friend requests; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-136,SCR-137,SCR-138,SCR-139",P1,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-116,Community & Social,Follow graph,S28,How do I open a chat window with my friend?,Follow creators or players independently of mutual friendship.,FR-116,"Given an eligible user and valid starting state, when the ""Follow graph"" workflow is exercised, ChessLab shall follow creators or players independently of mutual friendship; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-117,Community & Social,Persistent chat,S28,How do I open a chat window with my friend?,Keep one-to-one and group chat available across navigation with unread state.,FR-117,"Given an eligible user and valid starting state, when the ""Persistent chat"" workflow is exercised, ChessLab shall keep one-to-one and group chat available across navigation with unread state; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-136,SCR-137,SCR-138,SCR-139",P1,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-118,Community & Social,In-game chat controls,S32,What is safe mode on Chess.com?,"Allow everyone, request-only, friends-only or disabled chat policies.",FR-118,"Given an eligible user and valid starting state, when the ""In-game chat controls"" workflow is exercised, ChessLab shall allow everyone, request-only, friends-only or disabled chat policies; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-136,SCR-137,SCR-138,SCR-139",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-119,Community & Social,Club discovery,S27,How do Chess.com clubs work?,"Search and browse clubs by interest, location, activity and language.",FR-119,"Given an eligible user and valid starting state, when the ""Club discovery"" workflow is exercised, ChessLab shall search and browse clubs by interest, location, activity and language; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; empty, loading, no-result, permission-filtered and paginated states are covered.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-120,Community & Social,Club membership workflow,S27,How do Chess.com clubs work?,"Support open, request-to-join and invitation-only membership.",FR-120,"Given an eligible user and valid starting state, when the ""Club membership workflow"" workflow is exercised, ChessLab shall support open, request-to-join and invitation-only membership; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-121,Community & Social,Club spaces,S27,How do Chess.com clubs work?,"Provide notes, forums, chat, matches, vote chess and events.",FR-121,"Given an eligible user and valid starting state, when the ""Club spaces"" workflow is exercised, ChessLab shall provide notes, forums, chat, matches, vote chess and events; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-122,Community & Social,Club roles and audit,S27,How do Chess.com clubs work?,"Model owner, super-admin, admin, coordinator and member permissions.",FR-122,"Given an eligible user and valid starting state, when the ""Club roles and audit"" workflow is exercised, ChessLab shall model owner, super-admin, admin, coordinator and member permissions; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-123,Community & Social,Forums and comments,"S27,S31","How do Chess.com clubs work?,What do I need to know about Fair Play?","Thread discussions with edits, reports, moderation and notification controls.",FR-123,"Given an eligible user and valid starting state, when the ""Forums and comments"" workflow is exercised, ChessLab shall thread discussions with edits, reports, moderation and notification controls; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-124,Community & Social,User blogs,S28,How do I open a chat window with my friend?,Let members publish moderated long-form posts and follow authors.,FR-124,"Given an eligible user and valid starting state, when the ""User blogs"" workflow is exercised, ChessLab shall let members publish moderated long-form posts and follow authors; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-136,SCR-137,SCR-138,SCR-139",P2,Content,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-125,Community & Social,Notifications center,S29,How do I manage my settings?,"Aggregate social, game, learning, commerce and system notifications.",FR-125,"Given an eligible user and valid starting state, when the ""Notifications center"" workflow is exercised, ChessLab shall aggregate social, game, learning, commerce and system notifications; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-136,SCR-137,SCR-138,SCR-139",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-126,Tournaments & Variants,Arena tournaments,S15,How do live tournaments work?,"Support continuous pairing, streak scoring, countdown and standings.",FR-126,"Given an eligible user and valid starting state, when the ""Arena tournaments"" workflow is exercised, ChessLab shall support continuous pairing, streak scoring, countdown and standings; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-150,SCR-151,SCR-152,SCR-153",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-127,Tournaments & Variants,Swiss tournaments,S15,How do live tournaments work?,"Support scheduled rounds, pairings, tie-breaks and result correction workflow.",FR-127,"Given an eligible user and valid starting state, when the ""Swiss tournaments"" workflow is exercised, ChessLab shall support scheduled rounds, pairings, tie-breaks and result correction workflow; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-150,SCR-151,SCR-152,SCR-153",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-128,Tournaments & Variants,Daily tournaments,S16,How do Daily Tournaments work on Chess.com?,"Support group stages, simultaneous round-robin games and advancement.",FR-128,"Given an eligible user and valid starting state, when the ""Daily tournaments"" workflow is exercised, ChessLab shall support group stages, simultaneous round-robin games and advancement; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-150,SCR-151,SCR-152,SCR-153",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-129,Tournaments & Variants,Tournament creation,"S15,S16","How do live tournaments work?,How do Daily Tournaments work on Chess.com?","Configure format, time control, visibility, eligibility and participant caps.",FR-129,"Given an eligible user and valid starting state, when the ""Tournament creation"" workflow is exercised, ChessLab shall configure format, time control, visibility, eligibility and participant caps; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-150,SCR-151,SCR-152,SCR-153",P2,Community,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-130,Tournaments & Variants,Tournament moderation,"S15,S31","How do live tournaments work?,What do I need to know about Fair Play?","Provide director controls, chat policy, removal, cancellation and audit logs.",FR-130,"Given an eligible user and valid starting state, when the ""Tournament moderation"" workflow is exercised, ChessLab shall provide director controls, chat policy, removal, cancellation and audit logs; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect.","SCR-150,SCR-151,SCR-152,SCR-153",P2,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-131,Tournaments & Variants,Variant lobby,S18,How do I play chess variants?,"Browse variants with play, lobby, arenas, watch, leaders and archive tabs.",FR-131,"Given an eligible user and valid starting state, when the ""Variant lobby"" workflow is exercised, ChessLab shall browse variants with play, lobby, arenas, watch, leaders and archive tabs; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; the extension remains isolated from core play and is disabled until rights and operational readiness are approved.","SCR-150,SCR-151,SCR-152,SCR-153",P3,Expansion,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-132,Tournaments & Variants,Custom variant editor,S18,How do I play chess variants?,Compose supported rule modules and validate starting positions.,FR-132,"Given an eligible user and valid starting state, when the ""Custom variant editor"" workflow is exercised, ChessLab shall compose supported rule modules and validate starting positions; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; the extension remains isolated from core play and is disabled until rights and operational readiness are approved.","SCR-150,SCR-151,SCR-152,SCR-153",P3,Expansion,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-133,Tournaments & Variants,Variant-specific ratings,S18,How do I play chess variants?,Keep ratings and archives separate per variant and time class.,FR-133,"Given an eligible user and valid starting state, when the ""Variant-specific ratings"" workflow is exercised, ChessLab shall keep ratings and archives separate per variant and time class; verify that legal state, turn, clock or deadline, result and rating consequences are server-authoritative and consistent after reconnect; the extension remains isolated from core play and is disabled until rights and operational readiness are approved.","SCR-150,SCR-151,SCR-152,SCR-153",P3,Expansion,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-134,"Settings, Accessibility & Devices",Board and piece themes,"S29,S02","How do I manage my settings?,What is the PubAPI and how do I use it?","Offer original or licensed themes, backgrounds, coordinates and animation choices.",FR-134,"Given an eligible user and valid starting state, when the ""Board and piece themes"" workflow is exercised, ChessLab shall offer original or licensed themes, backgrounds, coordinates and animation choices; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Polish,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-135,"Settings, Accessibility & Devices",Move and sound preferences,S29,How do I manage my settings?,"Configure move method, legal markers, premoves, confirmations and sound themes.",FR-135,"Given an eligible user and valid starting state, when the ""Move and sound preferences"" workflow is exercised, ChessLab shall configure move method, legal markers, premoves, confirmations and sound themes; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Polish,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-136,"Settings, Accessibility & Devices",Gameplay settings,S29,How do I manage my settings?,"Centralize live, daily, bot, coach and puzzle behavior preferences.",FR-136,"Given an eligible user and valid starting state, when the ""Gameplay settings"" workflow is exercised, ChessLab shall centralize live, daily, bot, coach and puzzle behavior preferences; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-137,"Settings, Accessibility & Devices",Coach settings,S04,How do I play against the Coach?,"Choose persona, voice, appearance locations, autosave and feedback intensity.",FR-137,"Given an eligible user and valid starting state, when the ""Coach settings"" workflow is exercised, ChessLab shall choose persona, voice, appearance locations, autosave and feedback intensity; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Coach,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-138,"Settings, Accessibility & Devices",Notification routing,S29,How do I manage my settings?,"Choose in-app, push and email delivery by notification category.",FR-138,"Given an eligible user and valid starting state, when the ""Notification routing"" workflow is exercised, ChessLab shall choose in-app, push and email delivery by notification category; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px; delivery respects channel preferences, blocks, abuse controls and unread-state reconciliation.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-139,"Settings, Accessibility & Devices",Privacy controls,"S29,S32","How do I manage my settings?,What is safe mode on Chess.com?","Control profile fields, friends visibility, challenges and contact permissions.",FR-139,"Given an eligible user and valid starting state, when the ""Privacy controls"" workflow is exercised, ChessLab shall control profile fields, friends visibility, challenges and contact permissions; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P0,Privacy,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-140,"Settings, Accessibility & Devices",Localization,S29,How do I manage my settings?,"Support interface language, content language, locale, notation and timezone.",FR-140,"Given an eligible user and valid starting state, when the ""Localization"" workflow is exercised, ChessLab shall support interface language, content language, locale, notation and timezone; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-141,"Settings, Accessibility & Devices",Keyboard operation,S29,How do I manage my settings?,"Make all game, review and learning workflows operable without dragging.",FR-141,"Given an eligible user and valid starting state, when the ""Keyboard operation"" workflow is exercised, ChessLab shall make all game, review and learning workflows operable without dragging; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P0,Accessibility,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-142,"Settings, Accessibility & Devices",Screen-reader semantics,S29,How do I manage my settings?,"Expose board state, move list, clocks, alerts and annotations semantically.",FR-142,"Given an eligible user and valid starting state, when the ""Screen-reader semantics"" workflow is exercised, ChessLab shall expose board state, move list, clocks, alerts and annotations semantically; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P0,Accessibility,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-143,"Settings, Accessibility & Devices",Reduced motion and contrast,S29,How do I manage my settings?,Respect OS preferences and provide accessible contrast modes.,FR-143,"Given an eligible user and valid starting state, when the ""Reduced motion and contrast"" workflow is exercised, ChessLab shall respect OS preferences and provide accessible contrast modes; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P0,Accessibility,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-144,"Settings, Accessibility & Devices",Responsive web,"S35,S36","Does Chess.com have an app?,How do I play variants on the Chess.com app?",Preserve complete core workflows from 320 px mobile to wide desktop.,FR-144,"Given an eligible user and valid starting state, when the ""Responsive web"" workflow is exercised, ChessLab shall preserve complete core workflows from 320 px mobile to wide desktop; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P0,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-145,"Settings, Accessibility & Devices",Native-app parity matrix,"S35,S36","Does Chess.com have an app?,How do I play variants on the Chess.com app?",Document every web/mobile parity gap and degrade explicitly.,FR-145,"Given an eligible user and valid starting state, when the ""Native-app parity matrix"" workflow is exercised, ChessLab shall document every web/mobile parity gap and degrade explicitly; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px.","SCR-163,SCR-164,SCR-165,SCR-166",P1,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-146,"Settings, Accessibility & Devices",Offline drafts,S35,Does Chess.com have an app?,Allow local study notes and queued uploads without permitting offline competitive moves.,FR-146,"Given an eligible user and valid starting state, when the ""Offline drafts"" workflow is exercised, ChessLab shall allow local study notes and queued uploads without permitting offline competitive moves; verify that the workflow is operable by keyboard and assistive technology, persists as scoped, and has no horizontal overflow at 320 px; the result survives reload and a stale concurrent write returns an explicit conflict instead of silent loss.","SCR-163,SCR-164,SCR-165,SCR-166",P2,Platform,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-147,"Trust, Safety & Fair Play",Fair Play Lock,"S30,S31,S37","What counts as cheating on Chess.com?,What do I need to know about Fair Play?,ChessLab Product Context","Disable engine, coach, recommendations and branch explanations for ongoing human games.",FR-147,"Given an eligible user and valid starting state, when the ""Fair Play Lock"" workflow is exercised, ChessLab shall disable engine, coach, recommendations and branch explanations for ongoing human games; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-148,"Trust, Safety & Fair Play",Game-context policy engine,"S30,S31","What counts as cheating on Chess.com?,What do I need to know about Fair Play?","Determine allowed tools from game type, status, rating and opponent class.",FR-148,"Given an eligible user and valid starting state, when the ""Game-context policy engine"" workflow is exercised, ChessLab shall determine allowed tools from game type, status, rating and opponent class; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-149,"Trust, Safety & Fair Play",Report workflow,"S31,S32","What do I need to know about Fair Play?,What is safe mode on Chess.com?","Report cheating, abuse or illegal content with category, evidence and block option.",FR-149,"Given an eligible user and valid starting state, when the ""Report workflow"" workflow is exercised, ChessLab shall report cheating, abuse or illegal content with category, evidence and block option; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-150,"Trust, Safety & Fair Play",Block graph enforcement,S32,What is safe mode on Chess.com?,"Apply blocks to messaging, challenges, matchmaking, tournaments and content.",FR-150,"Given an eligible user and valid starting state, when the ""Block graph enforcement"" workflow is exercised, ChessLab shall apply blocks to messaging, challenges, matchmaking, tournaments and content; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-151,"Trust, Safety & Fair Play",Safe mode,S32,What is safe mode on Chess.com?,"Disable messages, chats and comments while preserving play and learning.",FR-151,"Given an eligible user and valid starting state, when the ""Safe mode"" workflow is exercised, ChessLab shall disable messages, chats and comments while preserving play and learning; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P1,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-152,"Trust, Safety & Fair Play",Child safety controls,S32,What is safe mode on Chess.com?,"Gate social access, parental consent and discovery based on age and jurisdiction.",FR-152,"Given an eligible user and valid starting state, when the ""Child safety controls"" workflow is exercised, ChessLab shall gate social access, parental consent and discovery based on age and jurisdiction; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-153,"Trust, Safety & Fair Play",Moderation console,S31,What do I need to know about Fair Play?,"Queue reports, preserve evidence, document actions and enforce least privilege.",FR-153,"Given an eligible user and valid starting state, when the ""Moderation console"" workflow is exercised, ChessLab shall queue reports, preserve evidence, document actions and enforce least privilege; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P1,Operations,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-154,"Trust, Safety & Fair Play",Fair-play case handling,S31,What do I need to know about Fair Play?,"Separate automated signals, human review, appeals and rating restoration.",FR-154,"Given an eligible user and valid starting state, when the ""Fair-play case handling"" workflow is exercised, ChessLab shall separate automated signals, human review, appeals and rating restoration; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P1,Operations,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-155,"Trust, Safety & Fair Play",Prompt-injection boundary,S37,ChessLab Product Context,"Treat imported PGN, comments, chat and community content as untrusted data.",FR-155,"Given an eligible user and valid starting state, when the ""Prompt-injection boundary"" workflow is exercised, ChessLab shall treat imported PGN, comments, chat and community content as untrusted data; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Security,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-156,"Trust, Safety & Fair Play",Anti-harassment controls,S32,What is safe mode on Chess.com?,"Rate-limit invitations and messages, detect spam patterns and allow quiet defaults.",FR-156,"Given an eligible user and valid starting state, when the ""Anti-harassment controls"" workflow is exercised, ChessLab shall rate-limit invitations and messages, detect spam patterns and allow quiet defaults; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P1,Trust,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-157,"Trust, Safety & Fair Play",Audit trail,S31,What do I need to know about Fair Play?,"Record sensitive admin, entitlement, moderation and analysis-policy decisions.",FR-157,"Given an eligible user and valid starting state, when the ""Audit trail"" workflow is exercised, ChessLab shall record sensitive admin, entitlement, moderation and analysis-policy decisions; verify that privacy, block, safe-mode, age and moderation rules are enforced before rendering or delivery.","SCR-176,SCR-177,SCR-178,SCR-179",P0,Security,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
MAP-158,"Membership, Commerce & Entitlements",Free core access,S33,Improve Your Chess with a Premium Membership,Keep unlimited basic human chess while limiting selected analysis and learning extras.,FR-158,"Given an eligible user and valid starting state, when the ""Free core access"" workflow is exercised, ChessLab shall keep unlimited basic human chess while limiting selected analysis and learning extras; verify that payment and entitlement transitions are idempotent, ledgered and recoverable after duplicate or delayed provider events.","SCR-187,SCR-188,SCR-189,SCR-190",P0,Commerce,Mapped,"Map public behavior and user outcome; implement original ChessLab information architecture, copy, visual design, assets and code."
